#vertices
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
#arestas
0 8 5
0 17 9
0 3 6
0 6 6
0 15 8
1 2 3
1 3 2
1 4 8
1 11 8
1 12 2
1 14 8
2 16 4
2 17 2
2 10 6
2 19 10
2 6 5
3 1 5
3 8 10
3 10 1
3 11 6
3 16 9
3 19 5
4 10 5
4 11 3
4 12 3
4 15 1
4 16 7
4 17 5
5 17 8
5 18 1
5 3 6
5 6 4
5 7 6
6 0 4
6 1 7
6 3 7
6 8 6
6 13 3
6 15 4
6 17 1
7 3 4
7 4 4
7 5 8
7 6 6
7 8 10
7 13 9
8 6 7
8 7 4
8 9 5
8 12 6
8 13 4
8 14 5
8 18 1
9 4 8
9 6 3
9 8 4
9 12 2
9 13 1
9 15 2
9 17 2
9 18 2
10 16 2
10 2 2
10 18 10
10 15 6
11 3 6
11 5 2
11 6 10
11 7 5
11 9 3
11 10 1
11 12 9
11 13 8
11 17 3
12 9 9
12 19 3
12 4 7
12 5 3
12 14 4
13 1 6
13 3 6
13 6 5
13 7 6
13 10 5
13 11 1
13 18 6
14 2 8
14 11 9
14 13 4
14 15 4
14 18 3
14 19 1
15 1 6
15 2 3
15 6 10
15 8 4
15 9 3
15 14 1
15 16 6
15 17 5
16 3 5
16 4 7
16 5 3
16 6 10
16 8 1
16 9 4
16 10 4
16 11 6
16 15 9
17 9 2
17 19 2
17 4 1
17 5 10
17 14 9
18 8 1
18 9 9
18 19 8
18 13 2
18 14 9
19 0 6
19 1 5
19 2 2
19 3 7
19 4 2
19 6 10
19 7 4
19 15 8
19 18 6
